Course,Location,Region,SSA,PPS,Source
Timberbeast (Long),Troy MT,W. Montana,46.5,11.5,PDGA 2025 Challenge
Farragut - A.W.O.L.,Athol ID,North Idaho,60.5,8.8,2025 Farragut Open
Farragut - Wreckreator,Athol ID,North Idaho,56.2,9.2,2025 Farragut Open
Farragut - Northstar,Athol ID,North Idaho,54.1,10.2,2025 Farragut Open
Farragut - Cutthroat,Athol ID,North Idaho,67.8,7.5,2025 Farragut Open
Corbin Park,Post Falls ID,North Idaho,53.1,10.2,Historical Avg
Cherry Hill,CDA ID,North Idaho,54.5,10.1,Historical Avg
Camp Sekani,Spokane WA,Eastern WA,56.4,9.1,PDGA Tournament
High Bridge Park,Spokane WA,Eastern WA,55.1,9.8,DGCR SSE
Blue Mountain,Missoula MT,W. Montana,60.5,8.5,PDGA State Champ
Libby Dam Lower,Libby MT,W. Montana,60.2,8.6,PDGA Tour
Bohart Ranch (Upper),Bozeman MT,SW Montana,58.5,8.8,Legacy PDGA Data
Spiritwood,Victor MT,SW Montana,54.2,10.1,PDGA C-Tier
Thompson Park,Butte MT,SW Montana,59.8,8.7,PDGA Tournament
Scratch Gravel,Helena MT,SW Montana,55.5,9.6,DGCR SSE
Eagle Island State Park,Eagle ID,Southern Idaho,58.1,9.0,PDGA A-Tier
Ann Morrison Park,Boise ID,Southern Idaho,52.4,10.4,PDGA Tournament
Lake Walcott,Rupert ID,Southern Idaho,61.2,8.4,PDGA State Champ
College of Southern Idaho,Twin Falls ID,Southern Idaho,54.0,10.0,PDGA/UDisc
Freeman Park,Idaho Falls ID,Southern Idaho,64.5,7.9,PDGA Tournament
